PC1, www.google.com, I
0X00, default_local, 216.58.192.16
PC1, www.TEstCase.org , R
0X01, default_local, 78.46.893.288

PC1, www.AmaZon.com, I
0X00, default_local, 52.222.210.18
PC1, www.test.com, I 
0XFF, default_local, Host not found

PC1, www.USA.gv, I
0XEE, default_local, Invalid format

PC1, www.usa.gov, R
0X00, default_local, 52.222.222
PC1, www.starBuckstea.gov, I
0X01, default_local, 57.38.48.93

PC1, safari.org, R
0X01, default_local, 85.22.45.783

PC1, guGGenheim.org, I
0X01, default_local, 63.116.182.0


PC1, www.AmaZon.com, R
0X00, default_local, 52.222.210.18
PC1, www.usa.gov, T
0XEE, default_local, Invalid format

PC1, www.USA.gov, I
0X00, default_local, 52.222.222
PC1, www.trafficcontrol.gov, R
0XFF, default_local, Host not found

PC1, www.teachCape.cOm, I
0XFF, default_local, Host not found

PC1, china.gov, R
0X01, default_local, 64.234.86.45

PC1, iranorganisation.cM, I
0XEE, default_local, Invalid format

PC1, www.twitter.org, R
0XFF, default_local, Host not found

PC1, www.twitter.com, I
0X00, default_local, 104.244.42.65

